,Date,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Dealer_Region
18,2022-01-02,Male,685000.0,Chrysler Plymouth,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,33000,53546-9427,SUV,Janesville
19,2022-01-02,Male,455000.0,Classic Chevy,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,85257-3102,Sedan,Scottsdale
20,2022-01-02,Male,13500.0,Clay Johnson Auto Sales,Toyota,4Runner,Overhead Camshaft,Manual,Black,25000,78758-7841,Sedan,Austin
21,2022-01-02,Male,2500000.0,Classic Chevy,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Black,21000,85257-3102,Hardtop,Austin
22,2022-01-02,Male,585000.0,Diehl Motor CO Inc,Audi,A4,Overhead Camshaft,Manual,Pale White,12000,06457-3834,Hardtop,Middletown
23,2022-01-02,Male,920000.0,Star Enterprises Inc,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,99301-3882,Passenger,Pasco
24,2022-01-02,Male,672000.0,Suburban Ford,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,53546-9427,Passenger,Janesville
25,2022-01-02,Male,801250.0,Tri-State Mack Inc,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,31250,85257-3102,SUV,Scottsdale
26,2022-01-02,Female,820000.0,U-Haul CO,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19000,78758-7841,Passenger,Austin
27,2022-01-02,Male,791000.0,Progressive Shippers Cooperative Association No,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,53546-9427,Hatchback,Janesville
28,2022-01-02,Male,13500.0,Race Car Help,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,78758-7841,Hatchback,Janesville
29,2022-01-02,Male,1020000.0,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,Pale White,13000,06457-3834,Hatchback,Scottsdale
30,2022-01-02,Male,210000.0,Saab-Belle Dodge,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,20000,60504-7114,Sedan,Austin
31,2022-01-02,Male,750000.0,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hatchback,Middletown
32,2022-01-02,Male,635000.0,Star Enterprises Inc,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Sedan,Aurora
33,2022-01-02,Male,675000.0,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,Black,43000,85257-3102,Hatchback,Greenville
34,2022-01-02,Male,880000.0,U-Haul CO,Jaguar,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,16000,78758-7841,Passenger,Pasco
35,2022-01-03,Male,13500.0,Diehl Motor CO Inc,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,06457-3834,Sedan,Middletown
36,2022-01-03,Male,13500.0,Enterprise Rent A Car,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,60504-7114,SUV,Aurora
37,2022-01-03,Male,13500.0,Gartner Buick Hyundai Saab,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,38701-8047,Hatchback,Greenville
38,2022-01-03,Male,941000.0,Hatfield Volkswagen,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,99301-3882,SUV,Pasco
39,2022-01-03,Female,13500.0,Star Enterprises Inc,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16000,99301-3882,Passenger,Pasco
40,2022-01-03,Male,13500.0,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,53546-9427,Sedan,Janesville
41,2022-01-03,Female,13500.0,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,85257-3102,Sedan,Scottsdale
42,2022-01-03,Male,967500.0,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500,78758-7841,Passenger,Austin
43,2022-01-03,Male,600000.0,Diehl Motor CO Inc,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45001,06457-3834,Hatchback,Middletown
44,2022-01-03,Male,575000.0,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001,60504-7114,Hatchback,Aurora
45,2022-01-03,Male,566000.0,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,38701-8047,Hatchback,Greenville
46,2022-01-03,Male,1250000.0,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Manual,Pale White,21001,99301-3882,Hatchback,Pasco
47,2022-01-03,Male,730000.0,Rabun Used Car Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,85257-3102,Hatchback,Scottsdale
48,2022-01-03,Male,4060000.0,Race Car Help,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,78758-7841,Hatchback,Austin
49,2022-01-03,Male,13500.0,Ryder Truck Rental and Leasing,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,06457-3834,SUV,Middletown
50,2022-01-03,Male,1180000.0,Saab-Belle Dodge,Dodge,Stratus,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,60504-7114,Hatchback,Aurora
51,2022-01-03,Male,1360000.0,Progressive Shippers Cooperative Association No,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,53546-9427,Hardtop,Austin
52,2022-01-03,Female,640000.0,C & M Motors Inc,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,60504-7114,Hatchback,Scottsdale
53,2022-01-03,Male,615000.0,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hardtop,Middletown
54,2022-01-03,Male,520000.0,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,99301-3882,SUV,Middletown
55,2022-01-04,Male,1876000.0,Iceberg Rentals,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,25600,53546-9427,Passenger,Janesville
56,2022-01-04,Male,13500.0,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,Black,17000,85257-3102,Hatchback,Scottsdale
57,2022-01-04,Male,13500.0,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000,78758-7841,SUV,Austin
58,2022-01-04,Male,890000.0,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,06457-3834,Hatchback,Middletown
59,2022-01-04,Male,1800000.0,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Passenger,Aurora
60,2022-01-04,Male,1330000.0,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,Black,36000,06457-3834,Hardtop,Janesville
61,2022-01-04,Male,393000.0,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hatchback,Janesville
62,2022-01-04,Male,440000.0,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,85257-3102,Hatchback,Austin
63,2022-01-04,Female,280000.0,Nebo Chevrolet,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Black,14000,06457-3834,SUV,Middletown
64,2022-01-04,Male,1151000.0,Scrivener Performance Engineering,Dodge,Intrepid,DoubleÂ Overhead Camshaft,Auto,Pale White,31100,38701-8047,Sedan,Greenville
65,2022-01-04,Male,1650000.0,Star Enterprises Inc,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,99301-3882,Hatchback,Pasco
66,2022-01-04,Male,13500.0,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,Black,26000,53546-9427,SUV,Janesville
67,2022-01-04,Male,895000.0,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,53546-9427,Passenger,Aurora
68,2022-01-04,Female,660000.0,Classic Chevy,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,85257-3102,Sedan,Greenville
69,2022-01-04,Male,13500.0,Clay Johnson Auto Sales,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,78758-7841,Hatchback,Pasco
70,2022-01-05,Male,1636000.0,Nebo Chevrolet,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22600,06457-3834,SUV,Middletown
71,2022-01-05,Female,1000000.0,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000,60504-7114,Passenger,Aurora
72,2022-01-05,Female,745000.0,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000,38701-8047,SUV,Greenville
73,2022-01-05,Male,300000.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,99301-3882,Sedan,Pasco
74,2022-01-05,Male,1097000.0,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22700,53546-9427,Passenger,Janesville
75,2022-01-05,Female,542000.0,Rabun Used Car Sales,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45000,85257-3102,SUV,Scottsdale
76,2022-01-05,Male,1200000.0,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Manual,Black,17000,99301-3882,Hatchback,Pasco
77,2022-01-05,Male,490000.0,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,Austin
78,2022-01-05,Male,410000.0,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,15000,85257-3102,SUV,Scottsdale
79,2022-01-05,Male,930000.0,Clay Johnson Auto Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,78758-7841,Hatchback,Austin
80,2022-01-05,Male,480000.0,Tri-State Mack Inc,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,85257-3102,Hardtop,Greenville
81,2022-01-05,Female,1360000.0,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,Pale White,43000,60504-7114,Hatchback,Aurora
82,2022-01-05,Male,2200000.0,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,60504-7114,Sedan,Aurora
83,2022-01-05,Female,1100000.0,Pars Auto Sales,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,38701-8047,SUV,Greenville
84,2022-01-05,Male,13500.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001,99301-3882,Hatchback,Pasco
85,2022-01-05,Male,1700000.0,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,25001,53546-9427,Sedan,Janesville
86,2022-01-05,Male,1908000.0,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800,85257-3102,Sedan,Scottsdale
87,2022-01-05,Male,13500.0,Race Car Help,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000,78758-7841,SUV,Austin
88,2022-01-05,Male,13500.0,Tri-State Mack Inc,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,18000,85257-3102,Sedan,Scottsdale
89,2022-01-05,Male,2550000.0,U-Haul CO,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,78758-7841,Hatchback,Austin
90,2022-01-05,Male,1245000.0,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22500,06457-3834,Sedan,Middletown
91,2022-01-05,Male,13500.0,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,78758-7841,Hardtop,Austin
92,2022-01-05,Male,1115000.0,Saab-Belle Dodge,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46500,60504-7114,Hardtop,Aurora
93,2022-01-05,Male,13500.0,Chrysler of Tri-Cities,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,99301-3882,SUV,Pasco
94,2022-01-05,Male,2110000.0,Diehl Motor CO Inc,Volvo,V70,DoubleÂ Overhead Camshaft,Auto,Black,39000,06457-3834,Passenger,Janesville
95,2022-01-05,Female,13500.0,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,Black,19000,60504-7114,SUV,Scottsdale
96,2022-01-05,Male,1050000.0,Gartner Buick Hyundai Saab,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,38701-8047,Hatchback,Austin
97,2022-01-05,Male,13500.0,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,Black,43000,99301-3882,Sedan,Janesville
98,2022-01-05,Female,13500.0,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000,53546-9427,Sedan,Scottsdale
99,2022-01-05,Male,320000.0,McKinney Dodge Chrysler Jeep,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,85257-3102,SUV,Austin
100,2022-01-06,Male,13500.0,Race Car Help,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Black,16001,78758-7841,SUV,Austin
101,2022-01-06,Female,760000.0,Ryder Truck Rental and Leasing,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,16001,06457-3834,Sedan,Middletown
102,2022-01-06,Male,1390000.0,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,38701-8047,SUV,Greenville
103,2022-01-06,Male,659000.0,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,38000,06457-3834,Hardtop,Janesville
104,2022-01-06,Male,1330000.0,Ryder Truck Rental and Leasing,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,06457-3834,Hatchback,Middletown
105,2022-01-06,Male,13500.0,Saab-Belle Dodge,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,60504-7114,Hatchback,Aurora
106,2022-01-06,Female,13500.0,Chrysler Plymouth,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Black,49000,53546-9427,Hatchback,Janesville
107,2022-01-06,Male,1362000.0,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21200,99301-3882,Hardtop,Pasco
108,2022-01-06,Male,480000.0,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,71000,78758-7841,SUV,Middletown
109,2022-01-06,Female,365000.0,Nebo Chevrolet,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,06457-3834,Sedan,Aurora
110,2022-01-09,Female,481000.0,Saab-Belle Dodge,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,57001,60504-7114,SUV,Aurora
111,2022-01-09,Male,700000.0,Scrivener Performance Engineering,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62001,38701-8047,Hatchback,Greenville
112,2022-01-09,Male,1350000.0,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,69001,99301-3882,SUV,Pasco
113,2022-01-09,Male,750000.0,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001,53546-9427,SUV,Janesville
114,2022-01-09,Male,451000.0,McKinney Dodge Chrysler Jeep,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,85257-3102,Hardtop,Austin
115,2022-01-09,Female,650000.0,U-Haul CO,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,Janesville
116,2022-01-09,Male,700000.0,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000,78758-7841,Hatchback,Austin
117,2022-01-09,Female,13500.0,Nebo Chevrolet,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Black,12000,06457-3834,Hatchback,Middletown
118,2022-01-09,Female,1220000.0,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000,38701-8047,Hatchback,Greenville
119,2022-01-09,Male,1300000.0,Star Enterprises Inc,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,99301-3882,Hatchback,Pasco
120,2022-01-09,Male,470000.0,Suburban Ford,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,53546-9427,Sedan,Janesville
121,2022-01-09,Female,1167500.0,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,26750,85257-3102,Hatchback,Scottsdale
122,2022-01-09,Male,3000000.0,Clay Johnson Auto Sales,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,78758-7841,Passenger,Austin
123,2022-01-09,Male,1900000.0,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000,06457-3834,Hatchback,Middletown
124,2022-01-09,Female,1690000.0,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15000,60504-7114,SUV,Aurora
125,2022-01-09,Male,2800000.0,Gartner Buick Hyundai Saab,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,26000,38701-8047,Sedan,Greenville
126,2022-01-09,Male,642000.0,Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hardtop,Greenville
127,2022-01-09,Female,705000.0,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,38701-8047,Hatchback,Pasco
128,2022-01-09,Male,670000.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Passenger,Janesville
129,2022-01-09,Male,13500.0,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,53546-9427,Passenger,Scottsdale
130,2022-01-10,Female,1985000.0,Tri-State Mack Inc,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28501,85257-3102,Hatchback,Scottsdale
131,2022-01-10,Male,1275000.0,New Castle Ford Lincoln Mercury,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15500,60504-7114,Hatchback,Aurora
132,2022-01-10,Male,13500.0,U-Haul CO,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,20000,78758-7841,Passenger,Austin
133,2022-01-10,Male,1650000.0,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000,99301-3882,Sedan,Pasco
134,2022-01-10,Male,520500.0,Rabun Used Car Sales,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,Auto,Pale White,12500,85257-3102,Passenger,Austin
135,2022-01-12,Female,500000.0,U-Haul CO,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,78758-7841,SUV,Austin
136,2022-01-12,Male,1172500.0,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27250,06457-3834,SUV,Middletown
137,2022-01-12,Male,441000.0,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,60504-7114,Sedan,Aurora
138,2022-01-12,Male,1310000.0,Capitol KIA,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22001,38701-8047,Sedan,Greenville
139,2022-01-12,Male,13500.0,Chrysler of Tri-Cities,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,99301-3882,Passenger,Pasco
140,2022-01-12,Male,1200000.0,Chrysler Plymouth,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,22000,53546-9427,SUV,Janesville
141,2022-01-12,Male,1680000.0,Pars Auto Sales,Acura,RL,Overhead Camshaft,Manual,Black,18000,38701-8047,SUV,Greenville
142,2022-01-12,Male,1340000.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,27000,99301-3882,Passenger,Pasco
143,2022-01-12,Female,901000.0,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Overhead Camshaft,Manual,Pale White,25000,53546-9427,SUV,Janesville
144,2022-01-12,Female,849500.0,Rabun Used Car Sales,Acura,RL,Overhead Camshaft,Manual,Pale White,26500,85257-3102,SUV,Scottsdale
145,2022-01-12,Male,13500.0,Race Car Help,Ford,Taurus,Overhead Camshaft,Manual,Black,69000,78758-7841,SUV,Austin
146,2022-01-12,Female,1071500.0,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14150,06457-3834,Sedan,Middletown
147,2022-01-12,Male,1740000.0,Progressive Shippers Cooperative Association No,Saab,5-Sep,Overhead Camshaft,Manual,Pale White,28000,53546-9427,Hatchback,Janesville
148,2022-01-12,Male,13500.0,Rabun Used Car Sales,Honda,Civic,Overhead Camshaft,Manual,Black,43000,85257-3102,Hatchback,Scottsdale
149,2022-01-12,Male,1700000.0,Race Car Help,BMW,528i,Overhead Camshaft,Manual,Pale White,25000,78758-7841,SUV,Austin
150,2022-01-12,Male,1100000.0,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,06457-3834,Sedan,Middletown
151,2022-01-12,Male,13500.0,Saab-Belle Dodge,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39000,60504-7114,Sedan,Aurora
152,2022-01-12,Male,2155000.0,Scrivener Performance Engineering,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Black,60500,38701-8047,Passenger,Greenville
153,2022-01-12,Male,13500.0,Iceberg Rentals,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,53546-9427,Passenger,Janesville
154,2022-01-12,Male,13500.0,McKinney Dodge Chrysler Jeep,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,85257-3102,Hatchback,Scottsdale
155,2022-01-12,Male,661000.0,Motor Vehicle Branch Office,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Black,44000,78758-7841,Hatchback,Austin
156,2022-01-12,Female,13500.0,Nebo Chevrolet,Oldsmobile,Aurora,Overhead Camshaft,Manual,Pale White,71000,06457-3834,Passenger,Middletown
157,2022-01-12,Male,13500.0,New Castle Ford Lincoln Mercury,Ford,Mustang,Overhead Camshaft,Manual,Pale White,25000,60504-7114,Hatchback,Aurora
158,2022-01-12,Male,2750000.0,Pars Auto Sales,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,18000,38701-8047,Hatchback,Greenville
159,2022-01-12,Male,13500.0,Race Car Help,Ford,Expedition,Overhead Camshaft,Manual,Pale White,22000,78758-7841,SUV,Middletown
160,2022-01-12,Male,13500.0,Diehl Motor CO Inc,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,06457-3834,Hardtop,Middletown
161,2022-01-12,Female,13500.0,Gartner Buick Hyundai Saab,Ford,Focus,Overhead Camshaft,Manual,Black,49000,38701-8047,Hardtop,Greenville
162,2022-01-12,Male,950000.0,Scrivener Performance Engineering,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,38701-8047,Passenger,Pasco
163,2022-01-12,Female,715000.0,Star Enterprises Inc,BMW,528i,Overhead Camshaft,Manual,Black,21000,99301-3882,SUV,Janesville
164,2022-01-12,Female,13500.0,Rabun Used Car Sales,Subaru,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22000,85257-3102,Hardtop,Scottsdale
165,2022-01-13,Female,847000.0,Classic Chevy,Plymouth,Breeze,Overhead Camshaft,Manual,Pale White,16000,85257-3102,SUV,Scottsdale
166,2022-01-13,Female,13500.0,Clay Johnson Auto Sales,Volkswagen,Beetle,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,78758-7841,SUV,Austin
167,2022-01-13,Male,1176500.0,Diehl Motor CO Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11650,06457-3834,Sedan,Middletown
168,2022-01-13,Male,955000.0,Enterprise Rent A Car,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,26000,60504-7114,Sedan,Aurora
169,2022-01-13,Male,800000.0,Saab-Belle Dodge,Saturn,SW,Overhead Camshaft,Manual,Black,36000,60504-7114,Passenger,Aurora
